"Mire Doc aun existe Big Brother ! la casa donde meten a 10 pendejos y 10 putas las 24hrs 
#BackToFutureDay .. https://t.co/snwjHqlI8H";0,333333333
dos dias mas y nos morimos jaja !;0,25
jota se la llevaron jota la queremos #Chairistegui;0
"a esta seleccion del tuca ponle de delantero a -Nery_castillo21 pffff !!
campeones del mundo !!";0
Me cae no habia visto la pelicula y me quede bien picado ! Mañana compro la segunda parte ! Dobby ??;0,166666667
Nuevo logo de Google, ya era hora, Me gusta! ...;0
"#PiroposParaLigar
Dime cuando es tu regla para vaciarla en un condon y hacerme unos tacos de moronga.";1
#NoEstariaMal Enpiernarnos un dia de estos ..;0,4
Matilda nunca eh visto esa mierda de pelicula !;1
"me voy a tirar atras los 2 partidos - Tuca Ferretti 
y en verdad lo quieren para la -miseleccionmx jaja !";0
al parecer me informan que se fue el internet en todo Monterrey !!;0
River Campeon, hubieran ido a invadir argentina aficionados de tigres, no les queda tan cerca como san Luis verdad . jajajaja 3-0 papa !;0
ole ole ole ole jajaja pobres tigres ...;0,333333333
Adios Julio chinga tu madre agosto !;0,333333333
hace tiempo todos eran americanistas y le mamaban los huevos al piojo, ahora todos son tigres y quieren al tuca, chinguen a su madre ...;1
que culero debe ser que el proximo mundial Rusia 2018 lo tengas que ver por la TV, verdad -MiguelHerreraDT :( ...;0
de aeromoza sera la unica opcion para que pueda ir al mundial 2018 #TrabajosParaElPiojo;0
a que hora sale -JavierAlarcon_ a defender al piojo ?;0
Si tuviera poquitos huevos -AGuardado18 hubieras tirado esa pelota para afuera ! No vales verga ..;0,25
Al estilo mexicano, Mexico avanza a la siguiente ronda .. #NoEraPenal;0,666666667
No! Ozzy Osbourne, no nos canceles! Ya empeñe la tele...;0
"Con esa panocha has de orinar champagne mami. #poetuit 
PERDoN NO SOY VULGAR !!";1
como quisiera ser mosca para pararme en tu mierda .. #poetuit;0,666666667
sean peras o manzanas ami denme la supuesta toalla de -ANPNL05 ya es mi hora del TE !! #HagoElOsoComoLaPaty :P;0,5
ultimo encierro!! ???????? #Miura #SanFermin2015;0
que me adopte el de kentucky fried chicken esta cabron, pero el dueño del pollo feliz esta dentro de mis posibilidades :( #UnSueñoPosible;0,666666667
Esperando con Ansias #AHSHotel http://t.co/RXQHSu7mVA;0
no podia diferenciar los aficionados de mexico y guatemala son identicos !!;0,5
"Satoru Iwata, presidente de Nintendo muere a los 55 años de edad :(
https://t.co/45OCI8nmCL";0
Complicado peligroso quinto encierro #SanFermin2015;0
Ganaderia debutante hoy en el quinto encierro #SanFermin2015 ??;0,2
Vistoso bonito cuarto encierro #SanFermin2015 ????;0,5
Tercer canto, tercer encierro #SanFermin2015 suerte a los corredores ?????? #ganaderiavictoriano;0
Por iniciar el Segundo encierro #SanFermin2015 venga suerte a los corredores ?????? ..;0
Hope Solo trae mas juego que ochoa !!;0
Messi juega solo no tiene equipo y asi no se puede caray ! Donde diablos esta Tevez ! ??;0,333333333
pinche Higuain tan pendejo un penalti es tocadito le metio huevos de mas, ptm :/ es tu culpa Higuain es tu culpa pendejo !;0,666666667
"Maestro del periodismo, descanse en paz 
#JacoboZabludovsky";0
usan mas a Siri para preguntarle pendejadas, que para cosas utiles.;1
16% de IVA a comida rapida, es por su bien culeros ..;0,25
Comida rapida llevara 16% de IVA a partir del 1° Julio, Espero no aplique a la comida china ??;0,25
Hipocritas cuando se les acerca un perro en la taqueria por que no le piden 5 de pastor, mejor les dan de patadas ! #MaskotaMaltrataAnimales;1
ir con la seleccion titular contra: cuba, guatemala y trinidad y tobago jaja ! eso es no tener madre, -MiguelHerreraDT jajaja !!;0
Alex Morgan puede ser muy hermosa pero yo me quedo con la Guapisima de -CharlynCorral :B;0
Pa, aunque nos peleemos y siempre me estes jodiendo la vida, pero bueno jaja #FelizDiaDelPadre ...;0,333333333
Este fracaso y el proximo de la copa oro, me imagino al piojo en unos años postulandose para diputado federal ..;0
Hay ofertas de Delanteros sr. Raul Arias - no gracias vengo a buscar 5 defensas el #Draft2015 de -SanLuis_FC;0
"La carne de animal que comen tambien es crueldad porque ese animal tambien sufrio al morir. Hipocritas.
#Soyaficionadoalostoros";1
Asi como muere Cuauhtemoc Blanco mueren mis esperanzas de estar contigo maldita...;0,75
Cuauhtemoc Blanco, hospitalizado por mal gastrointestinal, una bala le atraveso las tripas, oremos ??????;0
nacho ambriz nuevo DT del america, este america se esta a san luisando demasiado !;0
"El pionero, el mejor y es Tony Barrera, hoy a 17 años de su partida ... 
https://t.co/ExWNhh7AYW";0
cuantos muertitos lleva peña nieto ? por que a calderon diario le hacian conteo .. #Tanhuato;0,25
Dejen en paz a mi Yoko Ono, no cualquiera le dio un Pete a lennon ...;1
Actrices de televisa y tv azteca en una casa de citas .. #MiIdeaMillonaria;0
Anoto un gol dejo de tocar la pelota y me tiro atras, tipico de arias ..;0,333333333
Como quieres anotar 4 goles con un solo delantero, tipico de arias !!;0,333333333
Mas llegadas de peligro para dorados, estan perdonando de sobra al san luis , la gente en el estadio mas que muerta ...;0,25
0 - 0 primer tiempo .. ????;0
Me considero y soy mejor jugador de futbol que ese pendejo de Isaac romo !!;0
no creo que remonten el marcador, esos milagros los hacia televisa !!;0
la cagaron el partido debio ser a las 3pm, quiza ahorita estuvieran celebrando el campeonato, tarde fresca, punto comodo para dorados.;0
mejor me callo luego mañana no vayan a faltar 44, xD ..;0
Se corto la transmision tan interesante que estaba, caray !! #DebateGobernadorSLP;0
En el canal 7 son tan eticos que prefirieron cortar y poner la hora pico ?? reconecto SKY en 3 2 1 ...;0,5
Salud !! ?????? Aniceto becerra #DebateGobernadorSLP;0
El transexual de Isabel gomez ni idea de lo que dice ?????? #DebateGobernadorSLP;0,333333333
Con solo ver a aniceto becerra ?? te das cuenta que la politica es un mero chiste jajaja #DebateGobernadorSLP;0
Hoy, hace 70 años que se fue Adolf Hitler, para argentina, donde esta su Doodle Google ??;0,25
y que me dice #AmericaCampeon , y que le digo ahh que bien cobrese 2 de pastor y una coca de vidrio porfa !!;0
Vaso de agua, mi tafil ??, escuchar ?? negra, ron y velas y a dormir .. Zzz Zzz;0
Hace unos dias se me fue mi iPhone al agua, consegui un android de urgencia y como eh sufrido con estas apps de porqueria :( #matamedios;0
Con esta lluvia se sintio algo de frio, aun asi tengo el ventilador en nivel 3 para sentir aun mas frio ...;0,333333333
Todos en la premier de Avengers, y yo perdido en los videos de poringa !!;0,2
Asi deberia jugar benedetto en la liga !!;0
ya me tienen hasta la madre con los comerciales de las elecciones #MexicanProblems;0
"Pero este bochorno no va a parar nunca? El descaro con el que se manejan raya con el insulto¡¡
 abalos coloca en el ministerio a la mujer de su asesor Koldo, pieza clave en el Delcygate https://t.co/ffG7azWOU9";0
"Solo una pelotuda o lo que sea usa el ""perra"" como insulto. https://t.co/ffCVmuLJez";1
donde estan cepeda y agoney q insulto https://t.co/ROcPPjGgh3;0
"Antonio Burgos Medalla de Andalucia
 
 Pero no sera al buen talante y educacion 
 
 Una unica vez le escribi un tuit, haciendole un simple comentario, sin insulto y educado, sobre ¡la eleccion de la portada de la Feria de Sevilla!!!!
 
 ME BLOQUEo IPSO FACTO https://t.co/nsWoDLqdcl";0
Trolean a Estrella Morente en Wikipedia tras su alegato taurino en ‘OT 2020’ https://t.co/nKLoshbsiM;0
"TERFs: terf es un insulto.
 
 Also TERFs: el lobby trans y gay y la ideologia queer...";0
"que alguien me diga q trngo estilo cayetana o algo con el nombre cayetana... 
 
 me parece un insulto, no me digais eso
 
 gracias";0
